Momentum Period,Value Weight,Momentum Weight,Low Volatility Weight,Top N,Max Weight,Data Hash,Total Return,Annualized Volatility,Annualized Return,Sharpe Ratio
12M,0.2,0.4,0.4,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.0444,0.1155,0.4507,3.47
12M,0.3,0.5,0.2,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,3.1992000000000003,0.1634,0.6153,3.46
12M,0.4,0.3,0.3,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.8612,0.1073,0.4209,3.46
12M,0.1,0.3,0.6,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.8271,0.1055,0.4152,3.46
6M,0.1,0.3,0.6,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.0829,0.1177,0.4568,3.46
12M,0.1,0.3,0.6,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.6478,0.1422,0.541,3.45
6M,0.6,0.3,0.1,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.6888,0.0992,0.3917,3.45
6M,0.1,0.5,0.4,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.9025,0.1094,0.4277,3.45
12M,0.3,0.6,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.3159,0.2026,0.7476999999999999,3.44
12M,0.1,0.3,0.6,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.4197,0.1332,0.5081,3.44
12M,0.1,0.3,0.6,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.5121,0.1375,0.5216,3.43
6M,0.2,0.4,0.4,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.0887,0.1188,0.4577,3.43
6M,0.1,0.6,0.3,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.6955,0.1452999999999999,0.5477000000000001,3.43
6M,0.1,0.5,0.4,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.8995,0.11,0.4271999999999999,3.43
6M,0.1,0.5,0.4,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.6955,0.1452999999999999,0.5477000000000001,3.43
12M,0.4,0.3,0.3,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,1.8934,0.1097,0.4261999999999999,3.43
6M,0.1,0.4,0.5,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.5011,0.1374,0.5201,3.42
6M,0.1,0.5,0.4,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.651,0.144,0.5415,3.41
12M,0.1,0.8,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.0701,0.1966,0.7203,3.41
12M,0.1,0.3,0.6,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.8167,0.1065,0.4135,3.41
6M,0.1,0.6,0.3,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.651,0.144,0.5415,3.41
12M,0.5,0.4,0.1,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.1815,0.2007999999999999,0.7328,3.4
12M,0.1,0.3,0.6,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.0431,0.1178999999999999,0.4504999999999999,3.4
6M,0.2,0.5,0.3,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.1021,0.1206,0.4598,3.4
12M,0.4,0.3,0.3,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.8498,0.1085999999999999,0.419,3.4
12M,0.4,0.3,0.3,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.9535,0.1574,0.583,3.39
6M,0.6,0.3,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,1.732,0.103,0.3990999999999999,3.39
6M,0.1,0.5,0.4,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.6656,0.1457,0.5436,3.39
6M,0.1,0.6,0.3,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.6656,0.1457,0.5436,3.39
